id,name,type,test_type_codes,test_type_labels,job_family,job_levels,industry,remote_testing,adaptive_irt,duration_minutes,description,languages,url,use_cases,keywords
1,Account Manager Solution,Pre-packaged Job Solution,"C,P,A,B",Competencies | Personality & Behavior | Ability & Aptitude | Biodata & Situational Judgement,Sales,Executive | Graduate | Manager | Mid-Professional,,True,False,45,"Account Manager Solution is a pre-packaged SHL job assessment solution measuring competency framework behavioral competencies leadership capabilities UCF universal competency model, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment, and cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability. Suitable for executive C suite CEO CFO CTO COO president board level; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in sales roles. Used for hiring screening selection evaluation recruitment. account management B2B client relationships retention upsell renewal commercial sales competency framework behavioral competencies leadership capabilities UCF universal competency model personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations executive C suite CEO CFO CTO COO president board level graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior sales professional assessment screening evaluation hiring Account Manager Solution",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/account-manager-solution/,Talent Acquisition,account manager solution | competencies | personality & behavior | ability & aptitude | biodata & situational judgement | sales | executive | graduate | manager | mid-professional | account | solution
2,Administrative Professional - Short Form,Pre-packaged Job Solution,"A,K,P",Ability & Aptitude | Knowledge & Skills | Personality & Behavior,Clerical,Entry-Level | Graduate | Manager,,True,False,30,"Administrative Professional - Short Form is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and knowledge skills test technical expertise subject matter proficiency domain knowledge certification, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in clerical roles. Used for hiring screening selection evaluation recruitment. cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability knowledge skills test technical expertise subject matter proficiency domain knowledge certification personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior clerical professional assessment screening evaluation hiring Administrative Professional Short Form",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Talent Acquisition,administrative professional - short form | ability & aptitude | knowledge & skills | personality & behavior | clerical | entry-level | graduate | manager | administrative | professional | short | form
3,Agency Manager Solution,Pre-packaged Job Solution,"A,B,P,S",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior | Simulations,Sales,Front Line Manager | Graduate | Manager | Supervisor,Insurance,True,False,45,"Agency Manager Solution is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for front line manager people manager direct reports shift manager line manager; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in sales roles within Insurance. Used for hiring screening selection evaluation recruitment. insurance agency sales team leadership producer development revenue management cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment simulation work sample realistic job preview practical task performance hands-on assessment front line manager people manager direct reports shift manager line manager graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior sales professional assessment screening evaluation hiring insurance sector assessment Agency Manager Solution",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Talent Acquisition,agency manager solution | ability & aptitude | biodata & situational judgement | personality & behavior | simulations | sales | front line manager | graduate | manager | supervisor | insurance | agency | solution
4,Apprentice + 8.0 Job Focused Assessment,Pre-packaged Job Solution,"B,P",Biodata & Situational Judgement | Personality & Behavior,Business,Entry-Level | General Population | Graduate | Manager,,True,False,,"Apprentice + 8.0 Job Focused Assessment is a pre-packaged SHL job assessment solution measuring biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; all levels general broad range mixed experience any background; graduate university college degree early career campus hire new graduate trainee in business roles. Used for hiring screening selection evaluation recruitment. biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment entry level junior no experience fresh hire school leaver first job new joiner all levels general broad range mixed experience any background graduate university college degree early career campus hire new graduate trainee business professional assessment screening evaluation hiring Apprentice Job Focused Assessment",English International | German | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Talent Acquisition,apprentice + 8.0 job focused assessment | biodata & situational judgement | personality & behavior | business | entry-level | general population | graduate | manager | apprentice | job | focused | assessment
5,Apprentice 8.0 Job Focused Assessment,Pre-packaged Job Solution,"B,P",Biodata & Situational Judgement | Personality & Behavior,Business,Entry-Level | General Population | Graduate | Manager,,True,False,,"Apprentice 8.0 Job Focused Assessment is a pre-packaged SHL job assessment solution measuring biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; all levels general broad range mixed experience any background; graduate university college degree early career campus hire new graduate trainee in business roles. Used for hiring screening selection evaluation recruitment. biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment entry level junior no experience fresh hire school leaver first job new joiner all levels general broad range mixed experience any background graduate university college degree early career campus hire new graduate trainee business professional assessment screening evaluation hiring Apprentice Job Focused Assessment",English International | French | German | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Talent Acquisition,apprentice 8.0 job focused assessment | biodata & situational judgement | personality & behavior | business | entry-level | general population | graduate | manager | apprentice | job | focused | assessment
6,Bank Administrative Assistant - Short Form,Pre-packaged Job Solution,"A,B,K,P",Ability & Aptitude | Biodata & Situational Judgement | Knowledge & Skills | Personality & Behavior,Clerical,Entry-Level | Graduate | Manager,Banking/Finance,True,False,30,"Bank Administrative Assistant - Short Form is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and knowledge skills test technical expertise subject matter proficiency domain knowledge certification. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in clerical roles within Banking/Finance. Used for hiring screening selection evaluation recruitment. cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations knowledge skills test technical expertise subject matter proficiency domain knowledge certification personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior clerical professional assessment screening evaluation hiring banking/finance sector assessment Bank Administrative Assistant Short Form",English (USA) | English International | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Talent Acquisition,bank administrative assistant - short form | ability & aptitude | biodata & situational judgement | knowledge & skills | personality & behavior | clerical | entry-level | graduate | manager | banking/finance | bank | administrative | assistant | short | form
7,Bank Collections Agent - Short Form,Pre-packaged Job Solution,"A,B,P",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior,Contact Center,Entry-Level | Graduate | Manager,Banking/Finance,True,False,30,"Bank Collections Agent - Short Form is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in contact center roles within Banking/Finance. Used for hiring screening selection evaluation recruitment. debt collections recovery negotiation payment arrangement financial services banking cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior contact center professional assessment screening evaluation hiring banking/finance sector assessment Bank Collections Agent Short Form",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Talent Acquisition,bank collections agent - short form | ability & aptitude | biodata & situational judgement | personality & behavior | contact center | entry-level | graduate | manager | banking/finance | bank | collections | agent | short | form
8,Bank Operations Supervisor - Short Form,Pre-packaged Job Solution,"A,B,P,S",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior | Simulations,Business,Front Line Manager | Graduate | Manager | Supervisor,Banking/Finance,True,False,30,"Bank Operations Supervisor - Short Form is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for front line manager people manager direct reports shift manager line manager; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in business roles within Banking/Finance. Used for hiring screening selection evaluation recruitment. cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment simulation work sample realistic job preview practical task performance hands-on assessment front line manager people manager direct reports shift manager line manager graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior business professional assessment screening evaluation hiring banking/finance sector assessment Bank Operations Supervisor Short Form",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Talent Acquisition,bank operations supervisor - short form | ability & aptitude | biodata & situational judgement | personality & behavior | simulations | business | front line manager | graduate | manager | supervisor | banking/finance | bank | operations | short | form
9,Bilingual Spanish Reservation Agent Solution,Pre-packaged Job Solution,"B,P,S,A",Biodata & Situational Judgement | Personality & Behavior | Simulations | Ability & Aptitude,Contact Center,Entry-Level | Graduate | Manager,Hospitality | Telecommunications,True,False,45,"Bilingual Spanish Reservation Agent Solution is a pre-packaged SHL job assessment solution measuring biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment, and simulation work sample realistic job preview practical task performance hands-on assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in contact center roles within Hospitality, Telecommunications. Used for hiring screening selection evaluation recruitment. reservation booking hospitality travel telephone bilingual customer contact agent bilingual dual language Spanish English French multilingual communication translation biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment simulation work sample realistic job preview practical task performance hands-on assessment cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior contact center professional assessment screening evaluation hiring hospitality sector assessment telecommunications sector assessment Bilingual Spanish Reservation Agent Solution",English (USA) | Spanish | Japanese | Latin American Spanish | English (South Africa),https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Talent Acquisition,bilingual spanish reservation agent solution | biodata & situational judgement | personality & behavior | simulations | ability & aptitude | contact center | entry-level | graduate | manager | hospitality | telecommunications | bilingual | spanish | reservation | agent | solution
10,"Bookkeeping, Accounting, Auditing Clerk Short Form",Pre-packaged Job Solution,"P,S,K,B,A",Personality & Behavior | Simulations | Knowledge & Skills | Biodata & Situational Judgement | Ability & Aptitude,Clerical,Entry-Level | Graduate | Manager,Banking/Finance,True,False,30,"Bookkeeping, Accounting, Auditing Clerk Short Form is a pre-packaged SHL job assessment solution measuring personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment, and simulation work sample realistic job preview practical task performance hands-on assessment, and knowledge skills test technical expertise subject matter proficiency domain knowledge certification. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in clerical roles within Banking/Finance. Used for hiring screening selection evaluation recruitment. accounting GAAP IFRS financial statements journal entries ledger trial balance reconcile bookkeeping double entry accounts ledger reconciliation petty cash small business finance personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment simulation work sample realistic job preview practical task performance hands-on assessment knowledge skills test technical expertise subject matter proficiency domain knowledge certification biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior clerical professional assessment screening evaluation hiring banking/finance sector assessment Bookkeeping Accounting Auditing Clerk Short Form",English (USA) | English International | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Talent Acquisition,"bookkeeping, accounting, auditing clerk short form | personality & behavior | simulations | knowledge & skills | biodata & situational judgement | ability & aptitude | clerical | entry-level | graduate | manager | banking/finance | bookkeeping | accounting | auditing | clerk | short | form"
