id,name,type,test_type_codes,test_type_labels,job_family,job_levels,industry,remote_testing,adaptive_irt,duration_minutes,description,languages,url,use_cases,keywords,job_family_id,job_level_ids,sub_industry_ids,skill_ids,cognitive_domain_ids,ucf_competency_cluster_ids,delivery_proctoring_id,delivery_bandwidth_id,delivery_device_ids,accessibility_flags,confidence_score,confidence_band,schema_version,effective_from,valid_until,lifecycle_status,gdpr_compliant,bias_audit_required,right_to_explanation
1,Account Manager Solution,Pre-packaged Job Solution,"C,P,A,B",Competencies | Personality & Behavior | Ability & Aptitude | Biodata & Situational Judgement,Sales,Executive | Graduate | Manager | Mid-Professional,,True,False,40.0,"Account Manager Solution is a pre-packaged SHL assessment solution designed for Sales hiring. It combines Competencies and Personality & Behavior and Ability & Aptitude to provide a comprehensive evaluation of candidate suitability for Executive, Graduate roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/account-manager-solution/,Talent Acquisition,account manager solution | competencies | personality & behavior | ability & aptitude | biodata & situational judgement | sales | account | manager | solution,JF_SAL_001,JL_EXC_001|JL_GRD_001|JL_MGR_001|JL_MID_001,,SKL_SOFT_NEG_001|SKL_BUS_SAL_001|SKL_SOFT_COM_001|SKL_SOFT_LDR_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001,CL_IP_001|CL_EP_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.82,MEDIUM,2.0,2026-03-01,,active,True,True,True
2,Administrative Professional - Short Form,Pre-packaged Job Solution,"A,K,P",Ability & Aptitude | Knowledge & Skills | Personality & Behavior,Clerical,Entry-Level | Graduate | Manager,,True,False,30.0,"Administrative Professional - Short Form is a pre-packaged SHL assessment solution designed for Clerical hiring. It combines Ability & Aptitude and Knowledge & Skills and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Talent Acquisition,administrative professional - short form | ability & aptitude | knowledge & skills | personality & behavior | clerical | administrative | professional | short | form,JF_CLR_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,,SKL_SOFT_TMG_001|SKL_BUS_OPS_001|SKL_SOFT_COM_001,COG_ABS_001|COG_IND_001|COG_LRN_001|COG_NUM_001|COG_SPD_001|COG_VRB_001,CL_OE_001|CL_SC_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.82,MEDIUM,2.0,2026-03-01,,active,True,True,True
3,Agency Manager Solution,Pre-packaged Job Solution,"A,B,P,S",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior | Simulations,Sales,Front Line Manager | Graduate | Manager | Supervisor,Insurance,True,False,40.0,"Agency Manager Solution is a pre-packaged SHL assessment solution designed for Sales hiring. It combines Ability & Aptitude and Biodata & Situational Judgement and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Front Line Manager, Graduate roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Talent Acquisition,agency manager solution | ability & aptitude | biodata & situational judgement | personality & behavior | simulations | sales | agency | manager | solution,JF_SAL_001,JL_FLM_001|JL_GRD_001|JL_MGR_001|JL_SUP_001,IND_INS_LIF_001|IND_INS_GEN_001,SKL_SOFT_NEG_001|SKL_BUS_SAL_001|SKL_SOFT_COM_001|SKL_SOFT_LDR_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001|COG_WMM_001,CL_IP_001|CL_EP_001|CL_LD_001,PRO_NON_001,BW_HGH_001,DEV_DTP_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.9,HIGH,2.0,2026-03-01,,active,True,True,True
4,Apprentice + 8.0 Job Focused Assessment,Pre-packaged Job Solution,"B,P",Biodata & Situational Judgement | Personality & Behavior,Business,Entry-Level | General Population | Graduate | Manager,,True,False,,"Apprentice + 8.0 Job Focused Assessment is a pre-packaged SHL assessment solution designed for Business hiring. It combines Biodata & Situational Judgement and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Entry-Level, General Population roles.",English International | German | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Talent Acquisition,apprentice + 8.0 job focused assessment | biodata & situational judgement | personality & behavior | business | apprentice | focused | assessment,JF_BUS_001,JL_ENT_001|JL_GEN_001|JL_GRD_001|JL_MGR_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.75,MEDIUM,2.0,2026-03-01,,active,True,True,True
5,Apprentice 8.0 Job Focused Assessment,Pre-packaged Job Solution,"B,P",Biodata & Situational Judgement | Personality & Behavior,Business,Entry-Level | General Population | Graduate | Manager,,True,False,,"Apprentice 8.0 Job Focused Assessment is a pre-packaged SHL assessment solution designed for Business hiring. It combines Biodata & Situational Judgement and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Entry-Level, General Population roles.",English International | French | German | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Talent Acquisition,apprentice 8.0 job focused assessment | biodata & situational judgement | personality & behavior | business | apprentice | focused | assessment,JF_BUS_001,JL_ENT_001|JL_GEN_001|JL_GRD_001|JL_MGR_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.8,MEDIUM,2.0,2026-03-01,,active,True,True,True
6,Bank Administrative Assistant - Short Form,Pre-packaged Job Solution,"A,B,K,P",Ability & Aptitude | Biodata & Situational Judgement | Knowledge & Skills | Personality & Behavior,Clerical,Entry-Level | Graduate | Manager,Banking/Finance,True,False,30.0,"Bank Administrative Assistant - Short Form is a pre-packaged SHL assessment solution designed for Clerical hiring. It combines Ability & Aptitude and Biodata & Situational Judgement and Knowledge & Skills to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | English International | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Talent Acquisition,bank administrative assistant - short form | ability & aptitude | biodata & situational judgement | knowledge & skills | personality & behavior | clerical | bank | administrative | assistant | short,JF_CLR_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,IND_BNK_RET_001|IND_BNK_INV_001,SKL_SOFT_TMG_001|SKL_BUS_OPS_001|SKL_SOFT_COM_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_LRN_001|COG_NUM_001|COG_SPD_001|COG_VRB_001,CL_OE_001|CL_SC_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.9,HIGH,2.0,2026-03-01,,active,True,True,True
7,Bank Collections Agent - Short Form,Pre-packaged Job Solution,"A,B,P",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior,Business,Entry-Level | Graduate | Manager,Banking/Finance,True,False,30.0,"Bank Collections Agent - Short Form is a pre-packaged SHL assessment solution designed for Business hiring. It combines Ability & Aptitude and Biodata & Situational Judgement and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Talent Acquisition,bank collections agent - short form | ability & aptitude | biodata & situational judgement | personality & behavior | business | bank | collections | agent | short | form,JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,IND_BNK_RET_001|IND_BNK_INV_001,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.9,HIGH,2.0,2026-03-01,,active,True,True,True
8,Bank Operations Supervisor - Short Form,Pre-packaged Job Solution,"A,B,P,S",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior | Simulations,Business,Front Line Manager | Graduate | Manager | Supervisor,Banking/Finance,True,False,30.0,"Bank Operations Supervisor - Short Form is a pre-packaged SHL assessment solution designed for Business hiring. It combines Ability & Aptitude and Biodata & Situational Judgement and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Front Line Manager, Graduate roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Talent Acquisition,bank operations supervisor - short form | ability & aptitude | biodata & situational judgement | personality & behavior | simulations | business | bank | operations | supervisor | short,JF_BUS_001,JL_FLM_001|JL_GRD_001|JL_MGR_001|JL_SUP_001,IND_BNK_RET_001|IND_BNK_INV_001,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001|COG_WMM_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_HGH_001,DEV_DTP_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.9,HIGH,2.0,2026-03-01,,active,True,True,True
9,Bilingual Spanish Reservation Agent Solution,Pre-packaged Job Solution,"B,P,S,A",Biodata & Situational Judgement | Personality & Behavior | Simulations | Ability & Aptitude,Contact Center,Entry-Level | Graduate | Manager,Hospitality | Telecommunications,True,False,40.0,"Bilingual Spanish Reservation Agent Solution is a pre-packaged SHL assessment solution designed for Contact Center hiring. It combines Biodata & Situational Judgement and Personality & Behavior and Simulations to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | Spanish | Japanese | Latin American Spanish | English (South Africa),https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Talent Acquisition,bilingual spanish reservation agent solution | biodata & situational judgement | personality & behavior | simulations | ability & aptitude | contact center | bilingual | spanish | reservation | agent,JF_CC_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,IND_HSP_HOT_001|IND_HSP_RST_001|IND_TEL_MOB_001|IND_TEL_FIX_001,SKL_SOFT_COM_001|SKL_SOFT_EMP_001|SKL_SOFT_ADP_001|SKL_SOFT_TMG_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001|COG_WMM_001,CL_SC_001|CL_IP_001|CL_AC_001,PRO_NON_001,BW_HGH_001,DEV_DTP_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.95,HIGH,2.0,2026-03-01,,active,True,True,True
10,"Bookkeeping, Accounting, Auditing Clerk Short Form",Pre-packaged Job Solution,"P,S,K,B,A",Personality & Behavior | Simulations | Knowledge & Skills | Biodata & Situational Judgement | Ability & Aptitude,Business,Entry-Level | Graduate | Manager,Banking/Finance,True,False,30.0,"Bookkeeping, Accounting, Auditing Clerk Short Form is a pre-packaged SHL assessment solution designed for Business hiring. It combines Personality & Behavior and Simulations and Knowledge & Skills to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | English International | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Talent Acquisition,"bookkeeping, accounting, auditing clerk short form | personality & behavior | simulations | knowledge & skills | biodata & situational judgement | ability & aptitude | business | bookkeeping | accounting | auditing",JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,IND_BNK_RET_001|IND_BNK_INV_001,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_LRN_001|COG_NUM_001|COG_SPD_001|COG_VRB_001|COG_WMM_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_HGH_001,DEV_DTP_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.9,HIGH,2.0,2026-03-01,,active,True,True,True
